População  residente -  total
Sigla,Código,Município,2022,
CE,2300101,Abaiara,10038,
CE,2300150,Acarapé,14027,
CE,2300200,Acaraú,65264,
CE,2300309,Acopiara,44962,
CE,2300408,Aiuaba,14076,
CE,2300507,Alcântaras,11369,
CE,2300606,Altaneira,6782,
CE,2300705,Alto Santo,14155,
CE,2300754,Amontada,42156,
CE,2300804,Antonina do Norte,7245,
CE,2300903,Apuiarés,12928,
CE,2301000,Aquiraz,80645,
CE,2301109,Aracati,75113,
CE,2301208,Aracoiaba,25553,
CE,2301257,Ararendá,11096,
CE,2301307,Araripe,19783,
CE,2301406,Aratuba,11224,
CE,2301505,Arneiroz,7429,
CE,2301604,Assaré,21697,
CE,2301703,Aurora,23714,
CE,2301802,Baixio,5704,
CE,2301851,Banabuiú,17195,
CE,2301901,Barbalha,75033,
CE,2301950,Barreira,22392,
CE,2302008,Barro,19381,
CE,2302057,Barroquinha,14567,
CE,2302107,Baturité,35218,
CE,2302206,Beberibe,53114,
CE,2302305,Bela Cruz,32775,
CE,2302404,Boa Viagem,50411,
CE,2302503,Brejo Santo,51090,
CE,2302602,Camocim,62326,
CE,2302701,Campos Sales,25135,
CE,2302800,Canindé,74174,
CE,2302909,Capistrano,17254,
CE,2303006,Caridade,16377,
CE,2303105,Cariré,17632,
CE,2303204,Caririaçu,26320,
CE,2303303,Cariús,17015,
CE,2303402,Carnaubal,17210,
CE,2303501,Cascavel,72720,
CE,2303600,Catarina,10243,
CE,2303659,Catunda,10444,
CE,2303709,Caucaia,355679,
CE,2303808,Cedro,22344,
CE,2303907,Chaval,12462,
CE,2303931,Choró,12113,
CE,2303956,Chorozinho,20163,
CE,2304004,Coreaú,20953,
CE,2304103,Crateús,76390,
CE,2304202,Crato,131050,
CE,2304236,Croatá,17481,
CE,2304251,Cruz,29761,
CE,2304269,Deputado Irapuan Pinheiro,8932,
CE,2304277,Ererê,6474,
CE,2304285,Eusébio,74170,
CE,2304301,Farias Brito,18217,
CE,2304350,Forquilha,24173,
CE,2304400,Fortaleza,2428708,
CE,2304459,Fortim,17294,
CE,2304509,Frecheirinha,15657,
CE,2304608,General Sampaio,6734,
CE,2304657,Graça,13801,
CE,2304707,Granja,53344,
CE,2304806,Granjeiro,4841,
CE,2304905,Groaíras,10910,
CE,2304954,Guaiúba,24325,
CE,2305001,Guaraciaba do Norte,42053,
CE,2305100,Guaramiranga,5654,
CE,2305209,Hidrolândia,17855,
CE,2305233,Horizonte,74755,
CE,2305266,Ibaretama,11956,
CE,2305308,Ibiapina,23965,
CE,2305332,Ibicuitinga,11611,
CE,2305357,Icapuí,21433,
CE,2305407,Icó,62642,
CE,2305506,Iguatu,98064,
CE,2305605,Independência,24024,
CE,2305654,Ipaporanga,11575,
CE,2305704,Ipaumirim,12083,
CE,2305803,Ipu,41081,
CE,2305902,Ipueiras,36798,
CE,2306009,Iracema,14001,
CE,2306108,Irauçuba,23915,
CE,2306207,Itaiçaba,7536,
CE,2306256,Itaitinga,64650,
CE,2306306,Itapagé,46426,
CE,2306405,Itapipoca,131123,
CE,2306504,Itapiúna,17841,
CE,2306553,Itarema,42957,
CE,2306603,Itatira,20424,
CE,2306702,Jaguaretama,17232,
CE,2306801,Jaguaribara,10356,
CE,2306900,Jaguaribe,33726,
CE,2307007,Jaguaruana,31701,
CE,2307106,Jardim,27411,
CE,2307205,Jati,7861,
CE,2307254,Jijoca de Jericoacoara,25555,
CE,2307304,Juazeiro do Norte,286120,
CE,2307403,Jucás,23922,
CE,2307502,Lavras da Mangabeira,30802,
CE,2307601,Limoeiro do Norte,59560,
CE,2307635,Madalena,16896,
CE,2307650,Maracanaú,234509,
CE,2307700,Maranguape,105093,
CE,2307809,Marco,25799,
CE,2307908,Martinópole,10846,
CE,2308005,Massapê,37697,
CE,2308104,Mauriti,45561,
CE,2308203,Meruoca,15157,
CE,2308302,Milagres,25900,
CE,2308351,Milhã,14123,
CE,2308377,Miraíma,14196,
CE,2308401,Missão Velha,36822,
CE,2308500,Mombaça,37735,
CE,2308609,Monsenhor Tabosa,17149,
CE,2308708,Morada Nova,61443,
CE,2308807,Moraújo,8254,
CE,2308906,Morrinhos,22753,
CE,2309003,Mucambo,13666,
CE,2309102,Mulungu,10569,
CE,2309201,Nova Olinda,15399,
CE,2309300,Nova Russas,30699,
CE,2309409,Novo Oriente,27545,
CE,2309458,Ocara,24493,
CE,2309508,Orós,19675,
CE,2309607,Pacajus,70983,
CE,2309706,Pacatuba,81524,
CE,2309805,Pacoti,11186,
CE,2309904,Pacujá,6175,
CE,2310001,Palhano,9346,
CE,2310100,Palmácia,10242,
CE,2310209,Paracuru,38980,
CE,2310258,Paraipaba,32216,
CE,2310298,Cococi,,
CE,2310308,Parambu,31445,
CE,2310407,Paramoti,10384,
CE,2310506,Pedra Branca,40187,
CE,2310605,Penaforte,8972,
CE,2310704,Pentecoste,37813,
CE,2310803,Pereiro,15274,
CE,2310852,Pindoretama,23391,
CE,2310902,Piquet Carneiro,16616,
CE,2310951,Pires Ferreira,10606,
CE,2311009,Poranga,12065,
CE,2311108,Porteiras,17050,
CE,2311207,Potengi,8833,
CE,2311231,Potiretama,5974,
CE,2311264,Quiterianópolis,20213,
CE,2311306,Quixadá,84168,
CE,2311355,Quixelô,15910,
CE,2311405,Quixeramobim,82177,
CE,2311504,Quixeré,20874,
CE,2311603,Redenção,27214,
CE,2311702,Reriutaba,18606,
CE,2311801,Russas,72928,
CE,2311900,Saboeiro,13854,
CE,2311959,Salitre,16633,
CE,2312007,Santana do Acaraú,30628,
CE,2312106,Santana do Cariri,16954,
CE,2312205,Santa Quitéria,40183,
CE,2312304,São Benedito,47640,
CE,2312403,São Gonçalo do Amarante,54143,
CE,2312502,São João do Jaguaribe,5855,
CE,2312601,São Luís do Curu,10822,
CE,2312700,Senador Pompeu,24266,
CE,2312809,Senador Sá,7262,
CE,2312908,Sobral,203023,
CE,2313005,Solonópole,18179,
CE,2313104,Tabuleiro do Norte,30652,
CE,2313203,Tamboril,24815,
CE,2313252,Tarrafas,7529,
CE,2313302,Tauá,61227,
CE,2313351,Tejuçuoca,17154,
CE,2313401,Tianguá,81506,
CE,2313500,Trairi,58415,
CE,2313559,Tururu,15412,
CE,2313609,Ubajara,32767,
CE,2313708,Umari,6871,
CE,2313757,Umirim,17470,
CE,2313807,Uruburetama,20189,
CE,2313906,Uruoca,13746,
CE,2313955,Varjota,18105,
CE,2314003,Várzea Alegre,38984,
CE,2314102,Viçosa do Ceará,59712,
CE,2399919,Entre Rios,,
CE,2399929,Mecejana,,
CE,2399939,Vertentes,,
